馬名,horse_id,枠,馬 番,race_id,date,rank,着 順,weighted_avg_rank,weighted_avg_run_style,weighted_avg_last_3f,weighted_avg_horse_weight,weighted_avg_odds,weighted_avg_weather,weighted_avg_weight_change,weighted_avg_interval,weighted_avg_speed,turf_compatibility,dirt_compatibility,good_condition_avg,heavy_condition_avg,distance_compatibility,is_rest_comeback,interval_category,is_consecutive,jockey_compatibility,race_class,is_graded,age_limit,age,course_type_code,distance_val,rotation_code,weather_code,condition_code,target_top3
アレンパ,2022103764.0,5,10,202544120210,2025年12月2日,4.0,4,6.138409131153144,2.1510403688890625,40.086472432721585,518.0133581326646,100.0,1.582313722959724,-0.6573869754964947,139.32872674981547,15.561696824636428,10.0,4.8,4.8,10.0,4.8,1,4,0,10.0,0,0,0,3.0,2,1800.0,1,2,1,0
アロハフリューゲル,2023100110.0,1,1,202544120105,2025年12月1日,4.0,4,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,2.0,2,1200.0,1,1,1,0
アンエクスプロード,2022104571.0,6,8,202544120110,2025年12月1日,12.0,12,9.794196742523834,2.5796958976662294,40.03145316879875,509.32384920665345,100.0,1.095645976784559,4.563009895637431,97.59452451636189,15.796007625661165,10.0,8.6,8.6,10.0,8.6,0,2,0,9.0,0,0,0,3.0,2,1200.0,1,1,1,0
アンザンタカヒロ,2017102183.0,4,4,202546120107,2025年12月1日,6.0,6,6.587628428575782,2.941987782602002,40.3048993131259,468.7422852641301,100.0,1.941987782602002,0.9899429538258335,45.095070488923476,15.075667545906336,10.0,5.6,5.666666666666667,5.5,5.6,0,2,0,8.0,0,0,0,8.0,2,1500.0,1,2,1,0
アンジェララヴ,2020106766.0,3,3,202548120505,2025年12月5日,12.0,12,9.105335885104429,3.513332253824835,41.33315083240612,508.37189535744676,100.0,1.1912919535691182,-0.1252319940542863,26.686769472303492,14.886008499099791,10.0,9.8,9.5,11.0,9.5,0,1,1,9.0,0,0,0,5.0,2,1400.0,1,1,1,0
アンジュベル,2023106032.0,3,3,202550120404,2025年12月4日,2.0,2,3.6983381577557197,2.376017155454679,39.36577526224616,443.17013948348347,100.0,1.428655528777167,-0.7590943726217937,39.07040167635437,15.605260576070545,10.0,4.0,4.0,4.0,5.0,0,2,0,10.0,2,0,2,2.0,2,820.0,1,1,1,1
アンタンシオン,2022100146.0,4,6,202544120403,2025年12月4日,3.0,3,5.918727133633968,3.27499733459461,38.37704945412065,474.0708844208136,100.0,1.9486409700945326,-1.807524512127301,105.34635360088679,15.94884984359466,10.0,6.2,8.0,3.5,6.2,0,4,0,10.0,0,0,0,3.0,2,1600.0,1,1,1,1
アンダーレ,2019105953.0,8,9,202546120210,2025年12月2日,5.0,5,4.305006562466464,2.490703108374201,39.42667323439601,456.51335955117435,100.0,2.486667746175165,1.3705008028223662,37.40948342064499,15.51261124653429,10.0,3.0,3.0,10.0,3.0,0,2,0,1.3333333333333333,0,0,0,6.0,2,1400.0,1,2,1,0
アンテナラスト,2021101763.0,5,5,202547120106,2025年12月1日,4.0,4,4.210331929704083,2.0,40.37036921820353,494.8656262310459,100.0,1.3180049380566807,-2.3916895258598436,29.31740550434134,15.392175764252917,10.0,3.8,3.8,10.0,3.8,0,2,0,3.5,0,0,0,4.0,2,1400.0,1,1,1,0
アントラシート,2019106722.0,2,2,202550120210,2025年12月2日,7.0,7,4.33801625821382,3.0,39.29822350522138,473.0446968868107,100.0,1.846341805817443,-2.2177953822226524,66.5182534658473,15.087814779760505,10.0,4.8,4.5,6.0,4.8,0,2,0,5.0,0,0,0,6.0,2,1400.0,1,1,1,0
アンナネーヴェ,2021106680.0,6,9,202544120106,2025年12月1日,11.0,11,8.569236292340438,3.1576935563815933,41.10200947030949,442.00458781068744,100.0,1.769289612284482,-1.0683698821871055,115.19188872186558,15.015254652724558,10.0,8.2,8.2,10.0,9.666666666666666,1,4,0,8.25,0,0,0,4.0,2,1600.0,1,1,1,0
アンニンドウフ,2020106169.0,4,7,202544120210,2025年12月2日,16.0,16,11.366777755086456,3.8423064436184067,40.31239402116212,494.882585325648,100.0,2.0066531874925304,1.6056608077367307,84.02399208683795,15.407062738346195,10.0,8.8,11.333333333333334,5.0,8.666666666666666,0,2,0,16.0,0,0,0,5.0,2,1800.0,1,2,1,0
アンニーナ,2020101558.0,6,6,202550120406,2025年12月4日,6.0,6,3.142688942445666,2.062047579597034,41.3954804330972,430.5379158799417,100.0,1.524301505561726,2.8260497836149785,43.69567357592735,14.755895103460297,10.0,3.6,3.6,10.0,3.6,0,2,0,3.3333333333333335,0,0,0,5.0,2,1400.0,1,1,1,0
アンパオ,2021102830.0,7,11,202544120302,2025年12月3日,9.0,9,8.646363225834188,2.8463418058174432,39.16405158915258,420.74863940783007,100.0,1.3153871127631864,1.2885933672273122,53.78610985334416,15.763734879606066,10.0,7.8,7.8,10.0,5.25,0,2,0,10.0,0,0,0,4.0,2,1200.0,1,2,1,0
アンフォラ,2020105172.0,7,11,202544120310,2025年12月3日,14.0,14,8.51300568399066,1.7466604668338477,39.666179661479724,477.02937772435445,100.0,2.0,2.2171669444168742,41.9351769424356,16.008848685804235,10.0,6.0,6.0,10.0,6.0,0,2,0,10.0,0,0,0,5.0,2,1200.0,1,2,1,0
アンブロジアーナ,2019100620.0,5,7,202544120111,2025年12月1日,10.0,10,6.901432513595384,3.226675025516482,39.685972259529755,435.74427823180514,100.0,1.0,-0.78347708660322,48.69507181138128,15.5706750030643,10.0,7.6,7.75,7.0,7.6,0,2,0,10.0,0,0,0,6.0,2,1600.0,1,1,1,0
アンモニャイト,2022105953.0,7,10,202544120110,2025年12月1日,3.0,3,4.493320933667695,1.9890307482631093,38.8690721007021,480.4551530675401,100.0,1.5199854413173657,0.643514881352504,74.6058164962626,16.030111289442594,10.0,4.2,4.0,5.0,4.2,0,2,0,4.2,0,0,0,3.0,2,1200.0,1,1,1,1
アークプルミエ,2021100548.0,4,4,202547120104,2025年12月1日,0.0,取消,5.609976871981091,2.7842942262204087,39.51013904421281,452.1494145390683,100.0,1.6886482494358497,2.0918711713690996,55.71830929734507,15.372542806458686,10.0,4.8,5.75,1.0,5.0,0,1,1,4.8,0,0,0,4.0,2,1400.0,1,1,1,0
アースグラビティ,2022105607.0,5,7,202544120503,2025年12月5日,5.0,5,7.797570238144328,2.10661522852145,39.7450858397914,443.33378197640394,100.0,1.6156314181019247,4.7820677704191095,43.70346791334838,15.688439933973273,10.0,7.6,8.25,5.0,7.6,0,2,0,5.666666666666667,0,0,3,3.0,2,1200.0,1,1,1,0
アースグレーザー,2022100030.0,7,10,202550120412,2025年12月4日,3.0,3,3.351576037894686,3.2223589612721217,38.86556564777336,489.1799245545226,100.0,1.7440426415403534,8.654142058527507,75.33449697736825,15.631706928020764,12.0,4.0,4.75,9.0,6.75,0,2,0,1.0,0,0,0,3.0,2,1870.0,1,1,1,1
アーススピリット,2021105339.0,1,1,202544120210,2025年12月2日,13.0,13,2.422061479744089,2.9043540232154412,39.59778532036109,533.1432776438858,100.0,1.6443613025567583,1.9112287742938432,40.34910855932216,15.399768031659374,10.0,4.0,4.5,2.0,4.0,0,2,0,4.0,0,0,0,4.0,2,1800.0,1,2,1,0
アースフレンドリー,2023100088.0,5,6,202544120103,2025年12月1日,11.0,11,12.856133654673998,6.999411298559832,41.45742879784236,457.56898966546214,100.0,2.0,0.0,111.4151153956533,15.271416956194887,10.0,6.0,15.6,10.0,6.0,0,2,0,10.0,0,0,2,2.0,2,1200.0,1,1,1,0
アーバンキング,2022101650.0,2,2,202550120303,2025年12月3日,3.0,3,6.778551669468189,2.3556386974432417,41.08282350121615,481.146745281561,100.0,2.1022991642770896,-1.654435102815296,85.95097525550402,15.092772398855162,10.0,6.6,6.6,10.0,6.6,0,2,0,10.0,0,0,0,3.0,2,1400.0,1,2,1,1
アーブルラーブル,2022102998.0,2,2,202536120104,2025年12月1日,1.0,1,10.192870569470797,4.750806725171886,39.411079873281494,473.00058870144017,100.0,1.3113517505641503,3.0005887014401686,90.03237642302493,15.93116369230239,10.0,8.5,14.2,10.0,1.0,0,2,0,1.0,0,0,0,3.0,2,1400.0,1,2,1,1
アーラグラシア,2022104702.0,7,7,202547120107,2025年12月1日,1.0,1,6.433279592416373,1.9893114503084333,35.647960007499066,425.98585583394726,100.0,1.2533395331661523,0.24122449096672613,141.3632621780436,17.030768170238606,4.4,10.0,4.4,10.0,5.0,1,4,0,10.0,0,0,0,3.0,2,1400.0,1,1,1,1
イキザマ,2016100629.0,8,9,202536120206,2025年12月2日,2.0,2,3.1080919038864447,1.4716631322392375,38.2004985395536,507.64126544326996,100.0,3.703652863371777,1.936246800672196,34.145228170094356,16.175148371871376,10.0,4.4,4.4,10.0,5.0,0,1,1,2.0,0,0,0,9.0,2,850.0,1,2,1,1
イクスクローバー,2022100338.0,4,4,202547120306,2025年12月3日,2.0,2,6.548996027817523,1.4716631322392375,39.3114576631603,451.5121393462168,100.0,1.1576935563815933,-1.4450546973373979,35.321132867145536,15.91895850981523,10.0,6.6,6.6,10.0,6.6,0,2,0,10.0,0,0,0,3.0,2,1400.0,1,2,1,1
イケノギャルチャン,2019101304.0,4,6,202544120301,2025年12月3日,3.0,3,3.308453223225332,3.3180049380566805,40.01847088655033,503.487271952343,100.0,1.677678997698959,-2.077643960684752,55.911818404519984,15.21063449888203,10.0,3.4,3.75,2.0,3.4,0,2,0,3.4,0,0,0,6.0,2,1600.0,1,2,1,1
イサゴールド,2022101463.0,6,9,202544120503,2025年12月5日,8.0,8,8.961860909270621,3.7466604668338475,40.952538340623974,415.55742650929,100.0,1.417686277040276,2.7553806059539547,48.821598424888165,15.247956245355315,8.5,8.666666666666666,8.6,10.0,10.0,0,2,0,9.5,0,0,3,3.0,2,1200.0,1,1,1,0
イサムサンカ,2020104537.0,6,6,202546120211,2025年12月2日,7.0,7,5.249023468921791,2.4176862770402763,39.13680145251184,486.1243485638899,100.0,2.486667746175165,-1.1934865682604852,106.11937332368915,15.40995247733763,10.0,5.4,5.4,10.0,5.333333333333333,0,2,0,10.0,0,0,0,5.0,2,1700.0,1,2,1,0
