日付,会場,レース番号,レース名,重賞,コースタイプ,距離,回り,天候,馬場状態,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_1_last_3f,past_1_horse_weight,past_1_jockey,past_1_condition,past_1_odds,past_1_weather,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_2_last_3f,past_2_horse_weight,past_2_jockey,past_2_condition,past_2_odds,past_2_weather,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_3_last_3f,past_3_horse_weight,past_3_jockey,past_3_condition,past_3_odds,past_3_weather,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_4_last_3f,past_4_horse_weight,past_4_jockey,past_4_condition,past_4_odds,past_4_weather,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name,past_5_last_3f,past_5_horse_weight,past_5_jockey,past_5_condition,past_5_odds,past_5_weather,past_1_distance,past_1_course_type,past_2_distance,past_2_course_type,past_3_distance,past_3_course_type,past_4_distance,past_4_course_type,past_5_distance,past_5_course_type,コーナー 通過順,馬体重 (増減)
2025年1月25日,中山,9R,東雲賞,,,,,,,4,2,2,ステラバルセロナ,牝5,56.0,吉田 豊,1:35.4,クビ,9.0,0.0,34.0,,菊川 正達,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.0,424(-4)
2025年1月25日,中山,9R,東雲賞,,,,,,,5,1,1,ヤマニンガラッシア,牡8,58.0,大野 拓弥,1:35.5,クビ,5.0,0.0,34.3,,辻 哲英,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.0,464(+10)
2025年1月25日,中山,9R,東雲賞,,,,,,,6,8,10,ツルマウカタチ,牡4,57.0,菅原 明良,1:35.5,クビ,2.0,0.0,33.9,,手塚 貴久,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91010.0,478(+4)
2025年1月25日,中山,9R,東雲賞,,,,,,,7,4,4,ワザモノ,牡7,58.0,C.ルメール,1:35.6,クビ,4.0,0.0,34.5,,尾関 知人,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,518(+12)
2025年1月25日,中山,9R,東雲賞,,,,,,,8,7,8,ラーテル,せん5,58.0,原田 和真,1:35.7,１,10.0,0.0,34.6,,南田 美知雄,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,474(+2)
2025年1月25日,中山,9R,東雲賞,,,,,,,9,5,5,ラテラルシンキング,牡5,58.0,石川 裕紀人,1:35.7,アタマ,6.0,0.0,34.3,,黒岩 陽一,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.0,440(+6)
2025年1月25日,中山,9R,東雲賞,,,,,,,10,8,9,ラッジオ,牝5,56.0,丸田 恭介,1:35.8,アタマ,8.0,0.0,35.1,,大竹 正博,,202506010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,480(+2)
2025年1月25日,中山,10R,初霞賞,,,,,,,1,6,9,アピーリングルック,牝4,55.0,戸崎 圭太,1:53.7,,2.0,0.0,37.4,,辻 哲英,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222.0,472(0)
2025年1月25日,中山,10R,初霞賞,,,,,,,2,6,8,ピコニ,牡4,57.0,木幡 巧也,1:54.1,２ 1/2,7.0,0.0,37.9,,牧 光二,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.0,494(0)
2025年1月25日,中山,10R,初霞賞,,,,,,,3,3,3,ホウキボシ,せん5,58.0,R.キング,1:54.1,クビ,1.0,0.0,37.6,,堀 宣行,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.0,516(0)
2025年1月25日,中山,10R,初霞賞,,,,,,,4,8,12,クラウンシエンタ,牡4,57.0,三浦 皇成,1:54.4,１ 3/4,6.0,0.0,37.5,,水野 貴広,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9977.0,502(+10)
2025年1月25日,中山,10R,初霞賞,,,,,,,5,7,11,アラレタバシル,牡4,57.0,野中 悠太郎,1:54.5,クビ,3.0,0.0,37.7,,根本 康広,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6678.0,464(0)
2025年1月25日,中山,10R,初霞賞,,,,,,,6,4,5,サパテアール,せん6,58.0,石川 裕紀人,1:54.7,１ 1/2,5.0,0.0,37.5,,畠山 吉宏,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6698.0,524(+2)
